Nome,Idade,Cidade,Profissao
João,25,São Paulo,Engenheiro
Maria,30,Rio de Janeiro,Médica
Pedro,28,Porto Alegre,Advogado
Ana,22,Belo Horizonte,Professor
Carlos,35,Brasília,Contador
Juliana,27,Salvador,Arquiteta
Lucas,29,Recife,Programador
Isabela,26,Fortaleza,Jornalista
Gustavo,32,Florianópolis,Designer
Carolina,31,Manaus,Enfermeira
Rafael,33,Curitiba,Empresário
Amanda,24,Goiania,Psicóloga
Marcos,36,Porto Velho,Veterinário
Mariana,23,Natal,Bióloga
Thiago,29,Cuiabá,Analista de Sistemas
Beatriz,27,João Pessoa,Estudante
Felipe,30,Teresina,Consultor Financeiro
Patricia,28,Aracaju,Farmacêutica
Rodrigo,34,Palmas,Engenheiro Civil
Laura,25,Vitória,Advogada
Fernando,26,Maceió,Professor Universitário
Gabriela,31,Boa Vista,Engenheira de Software
Eduardo,32,Campo Grande,Médico Veterinário
Vanessa,29,Macapá,Psicopedagoga
Daniel,27,São Luís,Empreendedor
Camila,33,Rio Branco,Artesã
Henrique,28,Anápolis,Analista de Marketing
Tatiane,30,Joinville,Nutricionista
Paulo,34,Porto Seguro,Corretor de Imóveis
Julia,26,Ilhéus,Esteticista
Anderson,31,Santarém,Engenheiro Eletricista
Larissa,29,Marabá,Fisioterapeuta
Leonardo,35,Barreiras,Pedagogo
Renata,27,Itabuna,Advogada Trabalhista
Mateus,33,Feira de Santana,Designer Gráfico
Débora,28,Teixeira de Freitas,Pediatra
Bruno,30,Alagoinhas,Gestor de Projetos
Carla,32,Lauro de Freitas,Engenheira Ambiental
Luciana,29,Simões Filho,Professora de Inglês
Marcia,34,Paulo Afonso,Psicóloga Clínica
Roberto,25,Itabira,Analista Financeiro
Silvia,26,São José do Rio Preto,Arquiteto
Ricardo,31,Londrina,Professor de Matemática
Vanessa,27,Marília,Biomédica
Alexandre,33,Presidente Prudente,Administrador
Sabrina,28,Sorocaba,Enfermeiro
Jorge,30,Araraquara,Gerente de Vendas
